City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mayor Pablo Lagerenza,-19.9309,-60.7718,70.25,58,0,1.45,PY,1613896907
Rikitea,-23.1203,-134.9692,78.91,68,4,8.21,PF,1613896907
Vaini,-21.2,-175.2,77.0,78,75,10.36,TO,1613896909
Santa Cruz de la Sierra,-17.8,-63.1667,73.4,88,19,2.3,BO,1613896741
Mtwango,-9.0167,34.8,65.71,90,99,6.73,TZ,1613896910
Busselton,-33.65,115.3333,84.99,50,0,3.0,AU,1613896701
Tiarei,-17.5333,-149.3333,78.8,73,0,9.22,PF,1613896911
Clyde River,70.4692,-68.5914,-34.6,74,1,2.3,CA,1613896911
Qaanaaq,77.484,-69.3632,-28.37,71,0,4.18,GL,1613896912
Cidreira,-30.1811,-50.2056,71.47,83,1,8.95,BR,1613896913
Taoudenni,22.6783,-3.9836,78.76,15,0,4.72,ML,1613896913
São Pedro do Sul,-29.6206,-54.1789,62.74,95,4,4.16,BR,1613896915
Thompson,55.7435,-97.8558,14.0,85,20,5.75,CA,1613896915
Port Alfred,-33.5906,26.891,71.01,78,94,5.99,ZA,1613896916
Belyy Yar,53.6039,91.3903,15.8,57,0,6.71,RU,1613896916
Shingū,33.7333,135.9833,62.6,72,20,2.3,JP,1613896917
Ahipara,-35.1667,173.1667,62.51,84,54,7.05,NZ,1613896917
Leningradskiy,69.3833,178.4167,-14.4,87,99,7.78,RU,1613896918
Anadyr,64.75,177.4833,-18.0,76,75,4.47,RU,1613896918
Tateyama,34.9833,139.8667,64.99,55,0,3.0,JP,1613896720
Hasaki,35.7333,140.8333,64.4,42,0,6.91,JP,1613896919
Naze,28.3667,129.4833,66.2,59,20,12.66,JP,1613896920
Ushuaia,-54.8,-68.3,41.0,93,90,9.22,AR,1613896920
Klyuchi,52.2667,79.1667,10.56,93,91,13.38,RU,1613896921
Avarua,-21.2078,-159.775,77.0,88,75,6.91,CK,1613896736
Vanavara,60.34,102.2797,-8.0,88,100,5.03,RU,1613896923
Pangnirtung,66.1451,-65.7125,-16.33,65,0,1.7,CA,1613896923
Atuona,-9.8,-139.0333,79.61,81,96,19.93,PF,1613896924
